source,target,value
(entrance),(not set),3
(entrance),500 - error page,5
patient assistance now – patient assistance program finder,500 - error page,4
(entrance),novartis – patient assistance now - home,113
patient assistance now – novartis medicines,novartis – patient assistance now - home,3
novartis – patient assistance now - home,novartis – patient assistance now - home,10
search results,novartis – patient assistance now - home,2
patient assistance now – programs to access medicines,novartis – patient assistance now - home,3
pan - leaving novartis,novartis – patient assistance now - home,5
patient assistance now – patient assistance program finder,novartis – patient assistance now - home,15
novartis – patient assistance now - home,novartis us healthcare reform,3
pan - to read this pdf file,pan - leaving novartis,2
novartis – patient assistance now - home,pan - leaving novartis,2
patient assistance now – patient assistance program finder results,pan - leaving novartis,15
patient assistance now – novartis clinical trials,pan - leaving novartis,2
pan - leaving novartis,pan - leaving novartis,12
patient assistance now – novartis medicines,pan - leaving novartis,7
patient assistance now – programs to access medicines,pan - leaving novartis,18
pan - to read this pdf file,pan - to read this pdf file,2
patient assistance now – novartis medicines,pan - to read this pdf file,10
novartis – patient assistance now - home,patient assistance now – managing your diseases and conditions,4
pan - leaving novartis,patient assistance now – novartis medicines,3
patient assistance now – programs to access medicines,patient assistance now – novartis medicines,4
patient assistance now – patient assistance program finder results,patient assistance now – novartis medicines,2
novartis – patient assistance now - home,patient assistance now – novartis medicines,7
(entrance),patient assistance now – novartis medicines,12
search results,patient assistance now – novartis medicines,2
patient assistance now – patient assistance program finder,patient assistance now – novartis medicines,11
patient assistance now – novartis medicines,patient assistance now – novartis medicines,26
(entrance),patient assistance now – patient assistance program finder,9
patient assistance now – patient assistance program finder,patient assistance now – patient assistance program finder,13
patient assistance now – patient assistance program finder step 2,patient assistance now – patient assistance program finder,8
patient assistance now – programs to access medicines,patient assistance now – patient assistance program finder,3
pan - leaving novartis,patient assistance now – patient assistance program finder,2
pan - to read this pdf file,patient assistance now – patient assistance program finder,2
patient assistance now – novartis medicines,patient assistance now – patient assistance program finder,7
novartis – patient assistance now - home,patient assistance now – patient assistance program finder,62
search results,patient assistance now – patient assistance program finder,3
patient assistance now – patient assistance program finder results,patient assistance now – patient assistance program finder,2
patient assistance now – patient assistance program finder results,patient assistance now – patient assistance program finder results,4
patient assistance now – patient assistance program finder step 2,patient assistance now – patient assistance program finder results,31
pan - leaving novartis,patient assistance now – patient assistance program finder results,3
patient assistance now – patient assistance program finder step 2,patient assistance now – patient assistance program finder step 2,5
patient assistance now – patient assistance program finder results,patient assistance now – patient assistance program finder step 2,9
patient assistance now – patient assistance program finder,patient assistance now – patient assistance program finder step 2,47
patient assistance now – patient assistance program finder,patient assistance now – programs to access medicines,8
patient assistance now – patient assistance program finder step 2,patient assistance now – programs to access medicines,2
patient assistance now – programs to access medicines,patient assistance now – programs to access medicines,8
(entrance),patient assistance now – programs to access medicines,21
pan - leaving novartis,patient assistance now – programs to access medicines,6
novartis – patient assistance now - home,patient assistance now – programs to access medicines,7
patient assistance now – novartis medicines,patient assistance now – programs to access medicines,3
patient assistance now – patient assistance program finder results,patient assistance now – programs to access medicines,5
search results,search results,7
patient assistance now – patient assistance program finder,search results,3
novartis – patient assistance now - home,search results,4
patient assistance now – novartis medicines,search results,2
patient assistance now – programs to access medicines,search results,2
